VEA: Vanguard FTSE Developed Markets ETF
Inception Date: 2007-07-20
Fund Holdings as of: 2022-02-28
Total Assets Under Management (in thousands):	105776000
Shares Outstanding: 2239580000
Expense Ratio: 0.05%
Tracks This Index: FTSE Developed ex US All Cap Net Tax (US RIC) Index
ETF Database Category: Foreign Large Cap Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VEA


Holding,Symbol,Weighting
Yara International ASA,YAR,0.04%
"Meiji Holdings Co., Ltd.",2269,0.04%
Great-West Lifeco Inc.,GWO,0.04%
"SK Innovation Co., Ltd",096770,0.04%
Fortum Oyj,FORTUM,0.04%
AGC Inc.,5201,0.04%
Delivery Hero SE,DHER,0.04%
Alfa Laval AB,ALFA,0.04%
INPEX CORPORATION,1605,0.04%
VAT Group AG,VACN,0.04%
Imperial Oil Limited,IMO,0.04%
"Nomura Research Institute,Ltd.",4307,0.04%
Computershare Limited,CPU,0.04%
Suncorp Group Limited,SUN,0.04%
SUBARU CORP,7270,0.04%
ENGIE SA.,ENGI,0.04%
"SAMSUNG BIOLOGICS Co., Ltd.",207940,0.04%
Telia Company AB,TELIA,0.04%
Mitsubishi Chemical Holdings Corporation,4188,0.04%
PKO Bank Polski S.A.,PKO,0.04%
Associated British Foods plc,ABF,0.04%
Auto Trader Group PLC,AUTO,0.04%
West Fraser Timber Co. Ltd.,WFG,0.04%
Teva Pharmaceutical Industries Limited,TEVA,0.04%
West Japan Railway Company,9021,0.04%
"NEXON Co., Ltd.",3659,0.04%
Atlantia S.p.A,ATL,0.04%
VERBUND AG Class A,VER,0.04%
Makita Corporation,6586,0.04%
HelloFresh SE,HFG,0.04%
St. James\'s Place Plc,STJ,0.04%
Volkswagen AG,VOW,0.04%
Aegon NV,AGN,0.04%
BeiGene Ltd,6160,0.04%
Algonquin Power & Utilities Corp.,AQN,0.04%
"Nissan Motor Co., Ltd.",7201,0.04%
Ramsay Health Care Limited,RHC,0.04%
MinebeaMitsumi Inc.,6479,0.04%
EQT AB,EQT,0.04%
Mondi plc,MNDI,0.04%
Arkema SA,AKE,0.04%
Northland Power Inc.,NPI,0.03%
Epiroc AB Class B,EPI.B,0.03%
M&G Plc,MNG,0.03%
Descartes Systems Group Inc.,DSG,0.03%
"Idemitsu Kosan Co., Ltd.",5019,0.03%
AltaGas Ltd.,ALA,0.03%
Sofina SA,SOF,0.03%
"Yamato Holdings Co., Ltd.",9064,0.03%
"Nomura Real Estate Master Fund, Inc.",3462,0.03%
Land Securities Group PLC,LAND,0.03%
Charter Hall Group,CHC,0.03%
Temenos AG,TEMN,0.03%
"Yakult Honsha Co., Ltd.",2267,0.03%
Hydro One Limited,H,0.03%
"Dai Nippon Printing Co., Ltd.",7912,0.03%
Antofagasta plc,ANTO,0.03%
George Weston Limited,WN,0.03%
Bank of Ireland Group Plc,BIRG,0.03%
Lynas Rare Earths Limited,LYC,0.03%
Orkla ASA,ORK,0.03%
Isuzu Motors Limited,7202,0.03%
"Samsung Electro-Mechanics Co., Ltd",009150,0.03%
Toromont Industries Ltd.,TIH,0.03%
"Kansai Electric Power Company, Incorporated",9503,0.03%
